id:ID,description,source_project,source_version,likelihood,impact_score,frequency,recency,confidence,expert_weight,source_ll,cause,impact,impact_text,:LABEL
Risk_001,기중 진입로 단절 민원 및 우회도로 안전시설 미비 리스크_평택 브레인시티 1단계,평택 브레인시티 1단계,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,기중 진입로 단절 민원 및 우회도로 안전시설 미비 리스크,문화재 조사 및 우수관로 굴착 공사로 인해 기존 상가 및 공장 진입도로가 전면 차단됨에도 대체 우회도로 및 교통안전시설(PE드럼 등) 설계가 누락됨,"진입로 단절로 인한 막대한 영업 손실 민원 발생으로 본공사 착수가 불가능해지며, 야간 통행 시 안전사고 위험 노출","진입로 단절로 인한 막대한 영업 손실 민원 발생으로 본공사 착수가 불가능해지며, 야간 통행 시 안전사고 위험 노출",Risk
Risk_002,고속도로 교통관리기준 개정 미반영에 따른 도로 점용 실패 및 안전사고 리스크_서울고덕강일지구 방음시설,서울고덕강일지구 방음시설,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,고속도로 교통관리기준 개정 미반영에 따른 도로 점용 실패 및 안전사고 리스크,방음벽 설치를 위한 고속도로 작업장 교통관리기준(7차) 최신 개정사항이 설계 및 교통처리계획에 미반영됨,"작업장 교통관리기준 미달로 관할청의 도로 차단 심의가 반려되어 공정이 지연되고, 고속도로 주행 차량과 작업자가 대형 사고 위험에 노출","작업장 교통관리기준 미달로 관할청의 도로 차단 심의가 반려되어 공정이 지연되고, 고속도로 주행 차량과 작업자가 대형 사고 위험에 노출",Risk
Risk_003,도심지 교차로 전면 굴착에 따른 교통정체 민원 및 단계별 교통전환 누락 리스크_안성구리 광역상수도 이설공사,안성구리 광역상수도 이설공사,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,도심지 교차로 전면 굴착에 따른 교통정체 민원 및 단계별 교통전환 누락 리스크,도심지 삼거리 교차로 구간 관로 굴착 시 도로 전면 차단이 발생함에도 시공 단계별 교통처리 및 우회도로 개설 계획이 설계에 미반영됨,사전 조치 없는 도로 전면 통제로 인해 극심한 차량 정체 민원이 폭주하여 관로 시공 공정이 전면 중단될 위기 직면,사전 조치 없는 도로 전면 통제로 인해 극심한 차량 정체 민원이 폭주하여 관로 시공 공정이 전면 중단될 위기 직면,Risk
Risk_004,연약지반 내 대형 장비 동선 및 아웃트리거 지지력 확보 실패 리스크_화양전력구,화양전력구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,연약지반 내 대형 장비 동선 및 아웃트리거 지지력 확보 실패 리스크,"부지 내 표표가 점토 성분을 다량 함유한 연약지반임에도 중량 장비(크레인, 펌프카) 진출입 및 거치를 위한 가설도로 보강 계획이 설계에 누락됨","대형 장비 주행이 불가하고, 크레인 작업 시 아웃트리거 지지력 미확보로 인한 장비 전도 및 중대재해 발생 우려로 본공사 지연","대형 장비 주행이 불가하고, 크레인 작업 시 아웃트리거 지지력 미확보로 인한 장비 전도 및 중대재해 발생 우려로 본공사 지연",Risk
Risk_005,기존 아파트 진출입 공용도로 전면 통제에 따른 강성 민원 및 우회도로 개설 리스크_양주회천 택지개발사업,양주회천 택지개발사업,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,기존 아파트 진출입 공용도로 전면 통제에 따른 강성 민원 및 우회도로 개설 리스크,아파트 주민들이 상시 이용하는 공용도로 차단이 불가피함에도 설계 시 명확한 임시 교통처리 및 대체 진입로 개설 방안이 미비함,"사전 통보 없는 도로 차단으로 입주민 통행 불편 민원이 폭주하여 공사가 중단되고, 긴급 우회도로 개설을 위한 추가 비용 발생","사전 통보 없는 도로 차단으로 입주민 통행 불편 민원이 폭주하여 공사가 중단되고, 긴급 우회도로 개설을 위한 추가 비용 발생",Risk
Risk_006,대형 공사차량 진출입에 따른 기존 마을도로 파손 및 집단 민원 리스크_김포-관산 도로,김포-관산 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,대형 공사차량 진출입에 따른 기존 마을도로 파손 및 집단 민원 리스크,공사 주 진출입로로 활용되는 기존 마을도로가 대형 장비의 반복 하중을 견디지 못하는 구조임에도 사전 보강 계획이 누락됨,도로 포장면 파손으로 주민 통행 불편 및 비산먼지 민원이 폭주하여 공사 차량 진입이 통제되고 본공사가 중단됨,도로 포장면 파손으로 주민 통행 불편 및 비산먼지 민원이 폭주하여 공사 차량 진입이 통제되고 본공사가 중단됨,Risk
Risk_007,태풍 및 돌풍에 의한 가설방음벽 전도 및 제3자 차량 파손 리스크_옥동-농소 도로,옥동-농소 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,태풍 및 돌풍에 의한 가설방음벽 전도 및 제3자 차량 파손 리스크,가설방음벽 설계 시 기상이변(태풍 마이삭 등)에 대비한 풍하중 지지력 검토 및 지주 보강 대책이 미흡하게 적용됨,"태풍 내습 시 강풍을 버티지 못한 가설방음벽이 전도되어 인근 주차 차량을 파손하고, 피해보상 및 우회로 통제 등 피해 발생","태풍 내습 시 강풍을 버티지 못한 가설방음벽이 전도되어 인근 주차 차량을 파손하고, 피해보상 및 우회로 통제 등 피해 발생",Risk
Risk_008,운행선 접속부 기계포설 불가에 따른 야간 인력포장 및 교통차단 리스크_상주-영천 고속도로 1공구,상주-영천 고속도로 1공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,운행선 접속부 기계포설 불가에 따른 야간 인력포장 및 교통차단 리스크,"운행 중인 고속도로 접속부를 기계포설로 설계하였으나, 기존 가드레일 간섭으로 페이버 센서 설치가 물리적으로 불가함","기계포설 무산으로 인력타설로 변경되었으며, 교통 통제 시간 부족으로 주간 작업이 불가하여 전체 공기 연장 위기","기계포설 무산으로 인력타설로 변경되었으며, 교통 통제 시간 부족으로 주간 작업이 불가하여 전체 공기 연장 위기",Risk
Risk_009,경찰서 화약류 사용 불허 및 공법 변경 리스크_노포북정 3공구,노포북정 3공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,경찰서 화약류 사용 불허 및 공법 변경 리스크,• 갱구부 설계 시 고속도로 및 보안물건 밀접 지역임에도 획일적 발파 설계 적용. • 총포화약법에 의거 관할 경찰서장이 비산 및 인명피해 우려로 발파 허가를 전면 불허함.,• 갱구부 굴착 공정 전면 마비. • '유압식 할암'으로 전면 설계변경 시행 및 작업 효율 급감으로 원가 4.4% 상승.,• 갱구부 굴착 공정 전면 마비. • '유압식 할암'으로 전면 설계변경 시행 및 작업 효율 급감으로 원가 4.4% 상승.,Risk
Risk_010,발파 시간 제한 및 민원에 따른 공기 초과_오남수동도로,오남수동도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,발파 시간 제한 및 민원에 따른 공기 초과,• 주거지/펜션 인근 24시간 굴착 계획 수립의 안일함. • 소음진동관리법 및 지역 민원에 따른 경찰서의 발파 시간 단축(야간 금지) 명령.,• 1일 4회 → 2회 발파로 사이클 반토막. • 투입비 3.8억 원 이상 증가 및 준공일 지연 리스크.,• 1일 4회 → 2회 발파로 사이클 반토막. • 투입비 3.8억 원 이상 증가 및 준공일 지연 리스크.,Risk
