id:ID,action,source_project,target_risk,expected_effect,required_equipment,related_standard,responsible_role,:LABEL
Strat_001,"기존 진입로와 동일한 수준의 콘크리트 포장 임시 우회도로를 신설하고, PE드럼 및 경광등 등 교통안전시설물을 즉시 배치하여 리스크 해소_평택 브레인시티 1단계",평택 브레인시티 1단계,Risk_001,"진입로 단절로 인한 막대한 영업 손실 민원 발생으로 본공사 착수가 불가능해지며, 야간 통행 시 안전사고 위험 노출",,,,Strategy
Strat_002,"개정된 기준에 맞추어 교통처리계획을 재수립하고, 과속단속카메라, 쏠라윙카, PE드럼 등 필수 교통안전시설물을 대거 추가 배치_서울고덕강일지구 방음시설",서울고덕강일지구 방음시설,Risk_002,"작업장 교통관리기준 미달로 관할청의 도로 차단 심의가 반려되어 공정이 지연되고, 고속도로 주행 차량과 작업자가 대형 사고 위험에 노출",,기준,,Strategy
Strat_003,"민원 해소 및 공사 속개를 위해 당일 굴착·복구를 시행하고, 차량 통행 유지를 위해 2단계 교통전환(Traffic Switch) 우회도로 신설_안성구리 광역상수도 이설공사",안성구리 광역상수도 이설공사,Risk_003,사전 조치 없는 도로 전면 통제로 인해 극심한 차량 정체 민원이 폭주하여 관로 시공 공정이 전면 중단될 위기 직면,,,,Strategy
Strat_004,"장비의 안전한 진출입 및 작업 반경 확보를 위해 공사용 가설도로를 추가 조성하고, 골재 치환 및 복공판 보강을 통해 지내력 확보_화양전력구",화양전력구,Risk_004,"대형 장비 주행이 불가하고, 크레인 작업 시 아웃트리거 지지력 미확보로 인한 장비 전도 및 중대재해 발생 우려로 본공사 지연",,,,Strategy
Strat_005,"공사 중단 후 즉각적으로 아파트 주민용 임시 진입도로(우회도로)를 신설하고, 교통 신호수 및 안내 간판을 전면 배치하여 민원 해결_양주회천 택지개발사업",양주회천 택지개발사업,Risk_005,"사전 통보 없는 도로 차단으로 입주민 통행 불편 민원이 폭주하여 공사가 중단되고, 긴급 우회도로 개설을 위한 추가 비용 발생",,,,Strategy
Strat_006,민원 조기 해소 및 원활한 진출입로 확보를 위해 파손된 기존 도로 구간을 시공사 직영으로 긴급 재포장(아스콘 덧씌우기) 실시_김포-관산 도로,김포-관산 도로,Risk_006,도로 포장면 파손으로 주민 통행 불편 및 비산먼지 민원이 폭주하여 공사 차량 진입이 통제되고 본공사가 중단됨,,,시공사,Strategy
Strat_007,"파손된 가설방음벽 철거 후 지주 기초를 보강하여 재설치하고, 피해 차량에 대해서는 영업배상 보험 처리를 통해 신속하게 합의_옥동-농소 도로",옥동-농소 도로,Risk_007,"태풍 내습 시 강풍을 버티지 못한 가설방음벽이 전도되어 인근 주차 차량을 파손하고, 피해보상 및 우회로 통제 등 피해 발생",,,,Strategy
Strat_008,"기계타설 대신 인력타설 공법으로 전면 변경하고, 심야 시간에 고속도로 차로를 차단한 후 야간 인력포장을 통해 접속부 완료_상주-영천 고속도로 1공구",상주-영천 고속도로 1공구,Risk_008,"기계포설 무산으로 인력타설로 변경되었으며, 교통 통제 시간 부족으로 주간 작업이 불가하여 전체 공기 연장 위기",,,,Strategy
Strat_009,• 보안물건 인접 구간은 초기부터 기계 굴착(할암)으로 도급 내역 반영. • 인허가 반려 시 대안 공법 전환을 위한 Contingency 조항 계약 편입._노포북정 3공구,노포북정 3공구,Risk_009,• 갱구부 굴착 공정 전면 마비. • '유압식 할암'으로 전면 설계변경 시행 및 작업 효율 급감으로 원가 4.4% 상승.,,,,Strategy
Strat_010,• 발주처에 대항력 있는 '행정 명령에 의한 공기 지연' 실정보고 추진. • 도심지 터널은 초기부터 1일 발파 횟수를 보수적으로 축소 설계._오남수동도로,오남수동도로,Risk_010,• 1일 4회 → 2회 발파로 사이클 반토막. • 투입비 3.8억 원 이상 증가 및 준공일 지연 리스크.,,,발주처,Strategy
