id:ID,description,source_project,:LABEL
Risk_001,기중 진입로 단절 민원 및 우회도로 안전시설 미비 리스크_평택 브레인시티 1단계,평택 브레인시티 1단계,Risk
Risk_002,고속도로 교통관리기준 개정 미반영에 따른 도로 점용 실패 및 안전사고 리스크_서울고덕강일지구 방음시설,서울고덕강일지구 방음시설,Risk
Risk_003,도심지 교차로 전면 굴착에 따른 교통정체 민원 및 단계별 교통전환 누락 리스크_안성구리 광역상수도 이설공사,안성구리 광역상수도 이설공사,Risk
Risk_004,연약지반 내 대형 장비 동선 및 아웃트리거 지지력 확보 실패 리스크_화양전력구,화양전력구,Risk
Risk_005,기존 아파트 진출입 공용도로 전면 통제에 따른 강성 민원 및 우회도로 개설 리스크_양주회천 택지개발사업,양주회천 택지개발사업,Risk
Risk_006,대형 공사차량 진출입에 따른 기존 마을도로 파손 및 집단 민원 리스크_김포-관산 도로,김포-관산 도로,Risk
Risk_007,태풍 및 돌풍에 의한 가설방음벽 전도 및 제3자 차량 파손 리스크_옥동-농소 도로,옥동-농소 도로,Risk
Risk_008,운행선 접속부 기계포설 불가에 따른 야간 인력포장 및 교통차단 리스크_상주-영천 고속도로 1공구,상주-영천 고속도로 1공구,Risk
Risk_009,경찰서 화약류 사용 불허 및 공법 변경 리스크_노포북정 3공구,노포북정 3공구,Risk
Risk_010,발파 시간 제한 및 민원에 따른 공기 초과_오남수동도로,오남수동도로,Risk
Risk_011,터널 유출지하수 방류 수질 규제 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_012,터널 하부 통과 사유지 무단 점유 리스크_수인선 2-2,수인선 2-2,Risk
Risk_013,갱구부 산지/농지전용 고시 지연 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_014,집중호우 시 지하 구조물 우수 과다 유입 및 양수기 용량 부족 리스크_진접선 3공구,진접선 3공구,Risk
Risk_015,터널 지하수 유출 과다에 따른 오폐수 처리시설 용량 초과 및 환경기준 위반 리스크_삼성-동탄 2공구,삼성-동탄 2공구,Risk
Risk_016,지하수 관정 개발에 따른 수위 저하 및 인근 가옥/축사 환경민원 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_017,지하차도 굴착 중 유출수 처리를 위한 이동식 오탁수처리시설 설계 누락 리스크_김포-관산 도로,김포-관산 도로,Risk
Risk_018,터널 굴착 완료 후 유지관리용 오폐수처리장 운영기간 설계 누락 리스크_오남수동도로,오남수동도로,Risk
Risk_019,암버럭 가적치장 부족 및 고성토 장비 전도 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_020,콘크리트 골재 야적장 부족 및 타설 공정 지연 리스크_평화의댐 치수,평화의댐 치수,Risk
Risk_021,화약저장소 인허가 지연 및 필수 안전시설 누락 리스크_울릉도일주도로,울릉도일주도로,Risk
Risk_022,폐기물 집하장 조성 및 현장 내 소운반 비용 누락 리스크_부산명지 택지,부산명지 택지,Risk
Risk_023,폐기물 야적장 바닥 보양(콘크리트) 및 휀스 누락 리스크_서울고덕 강일,서울고덕 강일,Risk
Risk_024,암버럭 매각 지연에 따른 야적장 포화 및 공정 중단 리스크_오남수동 도로,오남수동 도로,Risk
Risk_025,현장 내 공간 부족으로 외부 야적장 임대 및 소운반 리스크_김포-관산 도로,김포-관산 도로,Risk
Risk_026,부지 구역 분할에 따른 진출입로 세륜시설 부족 리스크_성남복정 택지,성남복정 택지,Risk
Risk_027,태풍/돌풍에 의한 가설방음벽 전도 및 3자 대물 피해 리스크_옥동-농소 도로,옥동-농소 도로,Risk
Risk_028,비산먼지 특별단속 및 토사 상하차 구간 살수시설 누락 리스크_평택 화양지구,평택 화양지구,Risk
