id:ID,action,source_project,:LABEL
Strat_001,"기존 진입로와 동일한 수준의 콘크리트 포장 임시 우회도로를 신설하고, PE드럼 및 경광등 등 교통안전시설물을 즉시 배치하여 리스크 해소_평택 브레인시티 1단계",평택 브레인시티 1단계,Strategy
Strat_002,"개정된 기준에 맞추어 교통처리계획을 재수립하고, 과속단속카메라, 쏠라윙카, PE드럼 등 필수 교통안전시설물을 대거 추가 배치_서울고덕강일지구 방음시설",서울고덕강일지구 방음시설,Strategy
Strat_003,"민원 해소 및 공사 속개를 위해 당일 굴착·복구를 시행하고, 차량 통행 유지를 위해 2단계 교통전환(Traffic Switch) 우회도로 신설_안성구리 광역상수도 이설공사",안성구리 광역상수도 이설공사,Strategy
Strat_004,"장비의 안전한 진출입 및 작업 반경 확보를 위해 공사용 가설도로를 추가 조성하고, 골재 치환 및 복공판 보강을 통해 지내력 확보_화양전력구",화양전력구,Strategy
Strat_005,"공사 중단 후 즉각적으로 아파트 주민용 임시 진입도로(우회도로)를 신설하고, 교통 신호수 및 안내 간판을 전면 배치하여 민원 해결_양주회천 택지개발사업",양주회천 택지개발사업,Strategy
Strat_006,민원 조기 해소 및 원활한 진출입로 확보를 위해 파손된 기존 도로 구간을 시공사 직영으로 긴급 재포장(아스콘 덧씌우기) 실시_김포-관산 도로,김포-관산 도로,Strategy
Strat_007,"파손된 가설방음벽 철거 후 지주 기초를 보강하여 재설치하고, 피해 차량에 대해서는 영업배상 보험 처리를 통해 신속하게 합의_옥동-농소 도로",옥동-농소 도로,Strategy
Strat_008,"기계타설 대신 인력타설 공법으로 전면 변경하고, 심야 시간에 고속도로 차로를 차단한 후 야간 인력포장을 통해 접속부 완료_상주-영천 고속도로 1공구",상주-영천 고속도로 1공구,Strategy
Strat_009,• 보안물건 인접 구간은 초기부터 기계 굴착(할암)으로 도급 내역 반영. • 인허가 반려 시 대안 공법 전환을 위한 Contingency 조항 계약 편입._노포북정 3공구,노포북정 3공구,Strategy
Strat_010,• 발주처에 대항력 있는 '행정 명령에 의한 공기 지연' 실정보고 추진. • 도심지 터널은 초기부터 1일 발파 횟수를 보수적으로 축소 설계._오남수동도로,오남수동도로,Strategy
Strat_011,• 굴착 용수와 타설 폐수의 성상을 분리 분석하여 복합 수처리 시설 설계. • pH 저감 및 약품 자동 투입 장치 비용을 내역에 명시적 반영._새만금전주 6공구,새만금전주 6공구,Strategy
Strat_012,• 설계 도면과 지적도를 3D 하이라이팅하여 사유지 침범 여부 전수 검토. • 보상 미완료 시 장비 투입 금지 및 발주처 귀책 공기 연장 선제 제기._수인선 2-2,수인선 2-2,Strategy
Strat_013,• 산림/지적 대장 사전 확인하여 재선충 방제 등 특수 인허가 용역비 반영. • 인허가 완료 기한(최소 6개월)을 갱구 굴착의 Critical Path로 설정._새만금전주 5공구,새만금전주 5공구,Strategy
Strat_014,침수 구간 긴급 뻘 청소 시행 및 대용량 양수기 8대를 현장에 추가 전진 배치하여 재발 방지_진접선 3공구,진접선 3공구,Strategy
Strat_015,증가된 유입량을 완벽히 처리할 수 있도록 오폐수 처리시설을 신속히 추가 설치 및 증설 완료_삼성-동탄 2공구,삼성-동탄 2공구,Strategy
Strat_016,"기존 관정 사용을 즉각 제한하고, 살수차를 추가 임대 투입하여 외부에서 터널 작업용수를 대체 공급 조치_새만금전주 6공구",새만금전주 6공구,Strategy
